#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
53607	9942472	5155825	433	0	208	101265	-1712
53608	9942497	5155825	368	0	208	101265	-1712
53609	9942517	5155826	366	0	208	101261	-1709
53610	9942535	5155826	362	0	208	101260	-1708
53611	9942553	5155826	366	0	208	101262	-1709
53612	9942568	5155826	420	0	208	101256	-1704
53613	9942585	5155826	422	0	208	101265	-1712
53614	9942604	5155826	385	0	208	101257	-1705
53615	9942625	5155826	418	0	208	101261	-1709
53616	9942646	5155826	424	0	208	101266	-1713
53617	9942668	5155827	431	0	207	101261	-1709
53618	9942692	5155827	418	0	207	101264	-1711
53619	9942711	5155827	407	0	207	101263	-1710
53620	9942736	5155827	394	0	207	101264	-1711
53621	9942760	5155827	355	0	207	101272	-1718
53622	9942782	5155827	348	0	207	101263	-1710
53623	9942803	5155827	348	0	207	101262	-1709
53624	9942820	5155827	351	0	207	101266	-1713
53625	9942831	5155827	227	0	207	101272	-1718
53626	9942842	5155827	227	0	207	101269	-1715
53627	9942842	5155827	227	0	207	101265	-1712
53628	9942853	5155827	248	0	206	101268	-1714
53629	9942863	5155827	279	0	206	101272	-1718
53630	9942875	5155827	270	0	206	101267	-1714
53631	9942886	5155827	229	0	206	101274	-1719
53632	9942897	5155827	229	0	206	101280	-1724
53633	9942905	5155827	233	0	206	101270	-1716
53634	9942919	5155826	244	0	206	101274	-1719
53635	9942937	5155826	322	0	206	101278	-1723
53636	9942957	5155826	322	0	206	101276	-1721
53637	9942973	5155826	270	0	206	101280	-1724
53638	9942985	5155826	259	0	206	101287	-1730
53639	9942990	5155826	246	0	206	101278	-1723
53640	9942978	5155824	155	0	206	101280	-1724
53641	9942978	5155824	155	0	206	101271	-1717
53642	9942978	5155824	155	0	206	101271	-1717
53643	9942951	5155823	272	0	206	101281	-1725
53644	9942921	5155820	259	0	206	101276	-1721
