#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
57410	9945999	0	5155753	0	213	99624	-69
57411	9946012	0	5155753	0	213	99622	-67
57412	9946028	0	5155755	0	212	99622	-67
57413	9946044	0	5155756	0	212	99619	-65
57414	9946060	0	5155757	0	212	99622	-67
57415	9946077	0	5155758	0	212	99618	-64
57416	9946094	0	5155758	0	212	99623	-68
57417	9946112	0	5155758	0	212	99621	-66
57418	9946131	0	5155759	0	212	99630	-74
57419	9946150	0	5155759	0	212	99628	-72
57420	9946171	0	5155759	0	212	99636	-79
57421	9946191	0	5155759	0	212	99635	-78
57422	9946210	0	5155760	0	212	99630	-74
57423	9946231	0	5155759	0	212	99628	-72
57424	9946254	0	5155759	0	211	99633	-77
57425	9946276	0	5155760	0	211	99633	-77
57426	9946298	0	5155761	0	211	99634	-77
57427	9946321	0	5155761	0	211	99635	-78
57428	9946342	0	5155762	0	211	99622	-67
57429	9946369	0	5155762	0	211	99623	-68
57430	9946395	0	5155762	0	211	99617	-63
57431	9946422	0	5155762	0	211	99618	-64
57432	9946447	0	5155762	0	211	99618	-64
57433	9946471	0	5155761	0	211	99627	-72
57434	9946496	0	5155761	0	211	99628	-72
57435	9946518	0	5155761	0	211	99627	-72
57436	9946541	0	5155761	0	210	99634	-77
57437	9946564	0	5155761	0	211	99634	-77
57438	9946587	0	5155761	0	210	99627	-72
57439	9946611	0	5155761	0	210	99623	-68
57440	9946636	0	5155761	0	210	99615	-61
57441	9946660	0	5155761	0	210	99620	-66
57442	9946684	0	5155761	0	210	99622	-67
57443	9946704	0	5155761	0	210	99622	-67
57444	9946722	0	5155762	0	210	99622	-67
57445	9946739	0	5155763	0	210	99624	-69
57446	9946751	0	5155764	0	210	99622	-67
57447	9946758	0	5155765	0	210	99623	-68
57448	9946760	0	5155764	0	209	99622	-67
57449	9946759	0	5155763	0	209	99619	-65
57450	9946753	0	5155761	0	209	99619	-65
57451	9946739	0	5155758	0	209	99626	-71
57452	9946729	0	5155756	0	209	99610	-57
57453	9946715	0	5155754	0	209	99621	-66
57454	9946705	0	5155753	0	209	99606	-54
57455	9946698	0	5155753	0	209	99611	-58
57456	9946692	0	5155753	0	209	99608	-55
57457	9946687	0	5155753	0	209	99611	-58
57458	9946684	0	5155753	0	209	99607	-55
57459	9946680	0	5155753	0	209	99614	-61
57460	9946675	0	5155753	0	209	99618	-64
57461	9946670	0	5155753	0	208	99615	-61
57462	9946662	0	5155753	0	208	99621	-66
57463	9946656	0	5155754	0	208	99617	-63
57464	9946651	0	5155755	0	208	99606	-54
57465	9946647	0	5155755	0	208	99612	-59
57466	9946643	0	5155756	0	208	99611	-58
57467	9946640	0	5155756	0	208	99614	-61
57468	9946636	0	5155757	0	208	99599	-48
57469	9946632	0	5155757	0	208	99599	-48
57470	9946630	0	5155758	0	208	99605	-53
57471	9946628	0	5155759	0	208	99607	-55
57472	9946625	0	5155761	0	207	99597	-46
57473	9946619	0	5155762	0	207	99598	-47
57474	9946612	0	5155763	0	207	99598	-47
57475	9946605	0	5155764	0	207	99594	-44
57476	9946597	0	5155765	0	207	99591	-41
57477	9946591	0	5155766	0	207	99594	-44
57478	9946589	0	5155767	0	207	99605	-53
57479	9946589	0	5155768	0	207	99607	-55
57480	9946589	0	5155769	0	207	99603	-51
57481	9946590	0	5155771	0	207	99598	-47
57482	9946592	0	5155772	0	207	99593	-43
57483	9946594	0	5155774	0	207	99604	-52
57484	9946597	0	5155775	0	207	99598	-47
57485	9946599	0	5155777	0	207	99596	-45
57486	9946598	0	5155778	0	206	99594	-44
57487	9946595	0	5155780	0	206	99604	-52
57488	9946593	0	5155781	0	206	99602	-50
57489	9946591	0	5155782	0	206	99602	-50
57490	9946590	0	5155784	0	206	99600	-49
57491	9946590	0	5155785	0	206	99601	-49
57492	9946589	0	5155787	0	206	99609	-56
57493	9946587	0	5155789	0	206	99603	-51
57494	9946585	0	5155791	0	206	99595	-44
57495	9946581	0	5155793	0	206	99600	-49
57496	9946581	0	5155795	0	206	99597	-46
57497	9946583	0	5155797	0	206	99594	-44
57498	9946588	0	5155798	0	206	99596	-45
57499	9946594	0	5155800	0	206	99595	-44
57500	9946600	0	5155803	0	206	99589	-39
57501	9946607	0	5155805	0	205	99588	-38
57502	9946611	0	5155807	0	205	99583	-34
57503	9946619	0	5155809	0	205	99586	-37
57504	9946627	0	5155811	0	205	99593	-43
57505	9946632	0	5155813	0	205	99597	-46
57506	9946649	0	5155818	0	205	99602	-50
57507	9946669	0	5155824	0	205	99600	-49
57508	9946690	0	5155830	0	205	99595	-44
57509	9946710	0	5155837	0	205	99594	-44
57510	9946724	0	5155840	0	205	99597	-46
57511	9946735	0	5155844	0	205	99594	-44
57512	9946746	0	5155846	0	204	99595	-44
