#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
63549	9559158	5322450	51	0	214	99043	1917
63550	9559139	5322451	35	0	213	99036	1923
63551	9559128	5322452	37	0	214	99040	1919
63552	9559120	5322452	22	0	214	99040	1919
63553	9559114	5322452	24	0	214	99043	1917
63554	9559112	5322452	20	0	214	99044	1916
63555	9559111	5322452	35	0	214	99048	1913
63556	9559110	5322452	11	0	214	99050	1911
63557	9559109	5322452	50	0	213	99048	1913
63558	9559109	5322452	146	0	213	99041	1919
63559	9559104	5322452	224	0	213	99048	1913
63560	9559096	5322453	290	0	213	99053	1908
63561	9559088	5322454	331	0	213	99044	1916
63562	9559079	5322455	346	0	213	99050	1911
63563	9559070	5322456	425	0	213	99048	1913
63564	9559059	5322457	331	0	213	99048	1913
63565	9559048	5322457	301	0	213	99048	1913
63566	9559036	5322458	200	0	213	99052	1909
63567	9559028	5322458	309	0	213	99053	1908
63568	9559019	5322459	400	0	213	99052	1909
63569	9559011	5322460	418	0	213	99058	1904
63570	9559000	5322461	372	0	213	99044	1916
63571	9558990	5322462	416	0	213	99049	1912
63572	9558978	5322463	451	0	213	99052	1909
63573	9558965	5322464	433	0	212	99050	1911
63574	9558949	5322465	433	0	212	99055	1907
63575	9558931	5322465	451	0	212	99054	1908
63576	9558911	5322465	427	0	212	99051	1910
63577	9558891	5322465	438	0	212	99058	1904
63578	9558868	5322465	466	0	212	99053	1908
63579	9558847	5322464	440	0	212	99041	1919
63580	9558825	5322464	446	0	212	99047	1914
63581	9558805	5322464	440	0	212	99051	1910
63582	9558786	5322464	440	0	212	99059	1903
63583	9558767	5322463	455	0	212	99056	1906
63584	9558749	5322463	433	0	212	99059	1903
63585	9558730	5322463	442	0	212	99052	1909
63586	9558710	5322463	464	0	212	99059	1903
63587	9558691	5322463	453	0	212	99052	1909
63588	9558670	5322463	463	0	212	99053	1908
63589	9558649	5322462	446	0	212	99055	1907
63590	9558631	5322462	446	0	212	99059	1903
63591	9558613	5322462	444	0	211	99052	1909
63592	9558596	5322461	451	0	212	99061	1902
63593	9558577	5322461	483	0	211	99053	1908
63594	9558559	5322460	470	0	211	99055	1907
63595	9558539	5322460	505	0	211	99055	1907
63596	9558517	5322460	546	0	211	99059	1903
63597	9558496	5322460	505	0	211	99058	1904
63598	9558477	5322459	435	0	211	99056	1906
63599	9558459	5322459	466	0	211	99057	1905
63600	9558444	5322458	407	0	211	99059	1903
63601	9558430	5322458	374	0	211	99057	1905
63602	9558415	5322458	459	0	211	99055	1907
63603	9558400	5322457	444	0	211	99062	1901
63604	9558384	5322457	459	0	211	99055	1907
63605	9558368	5322457	494	0	211	99049	1912
63606	9558351	5322456	490	0	211	99039	1920
63607	9558331	5322455	544	0	211	99047	1914
63608	9558314	5322455	498	0	211	99047	1914
63609	9558294	5322455	535	0	210	99047	1914
63610	9558275	5322454	431	0	210	99057	1905
63611	9558261	5322453	507	0	210	99052	1909
63612	9558249	5322451	409	0	210	99044	1916
63613	9558241	5322449	383	0	210	99054	1908
63614	9558232	5322447	437	0	210	99053	1908
63615	9558219	5322445	492	0	210	99053	1908
63616	9558204	5322444	509	0	210	99058	1904
63617	9558187	5322443	442	0	210	99058	1904
63618	9558168	5322442	479	0	210	99062	1901
63619	9558149	5322441	401	0	210	99050	1911
63620	9558149	5322441	401	0	210	99048	1913
63621	9558112	5322439	464	0	210	99054	1908
63622	9558094	5322439	468	0	210	99048	1913
63623	9558075	5322438	487	0	210	99056	1906
63624	9558057	5322437	442	0	210	99056	1906
63625	9558039	5322437	379	0	209	99047	1914
63626	9558022	5322437	407	0	210	99056	1906
63627	9558004	5322436	446	0	209	99052	1909
63628	9557987	5322436	407	0	209	99054	1908
63629	9557970	5322436	446	0	209	99057	1905
63630	9557954	5322436	431	0	209	99050	1911
63631	9557936	5322436	520	0	209	99050	1911
63632	9557917	5322436	463	0	209	99043	1917
63633	9557898	5322435	464	0	209	99049	1912
63634	9557877	5322435	533	0	209	99057	1905
63635	9557856	5322435	346	0	209	99056	1906
63636	9557837	5322434	435	0	209	99054	1908
63637	9557817	5322434	455	0	209	99058	1904
63638	9557798	5322434	514	0	209	99060	1903
63639	9557779	5322434	470	0	209	99063	1900
63640	9557757	5322434	481	0	209	99061	1902
63641	9557736	5322434	433	0	209	99061	1902
63642	9557716	5322434	329	0	209	99055	1907
63643	9557698	5322434	309	0	209	99058	1904
63644	9557683	5322434	392	0	209	99057	1905
63645	9557668	5322434	381	0	208	99055	1907
63646	9557652	5322433	492	0	208	99044	1916
63647	9557635	5322433	551	0	208	99048	1913
63648	9557616	5322433	507	0	208	99060	1903
63649	9557598	5322433	351	0	208	99056	1906
63650	9557598	5322433	351	0	208	99060	1903
63651	9557564	5322432	440	0	208	99043	1917
63652	9557547	5322432	437	0	208	99055	1907
63653	9557547	5322432	437	0	208	99056	1906
63654	9557511	5322432	388	0	208	99054	1908
63655	9557511	5322432	388	0	208	99053	1908
63656	9557474	5322432	440	0	208	99054	1908
63657	9557455	5322432	463	0	208	99049	1912
63658	9557435	5322432	538	0	208	99053	1908
63659	9557435	5322432	538	0	208	99055	1907
63660	9557415	5322432	463	0	208	99052	1909
63661	9557389	5322432	459	0	208	99055	1907
63662	9557364	5322432	398	0	208	99059	1903
63663	9557341	5322432	475	0	208	99053	1908
63664	9557317	5322432	538	0	208	99058	1904
63665	9557317	5322432	538	0	207	99044	1916
63666	9557280	5322431	420	0	207	99057	1905
63667	9557259	5322431	487	0	207	99052	1909
63668	9557240	5322431	474	0	207	99056	1906
63669	9557220	5322431	435	0	207	99056	1906
63670	9557220	5322431	435	0	207	99052	1909
63671	9557182	5322431	442	0	207	99052	1909
63672	9557165	5322431	375	0	207	99061	1902
63673	9557148	5322430	290	0	207	99050	1911
63674	9557134	5322430	224	0	207	99059	1903
63675	9557134	5322430	224	0	207	99067	1897
63676	9557107	5322431	453	0	207	99061	1902
63677	9557092	5322431	455	0	207	99060	1903
63678	9557073	5322431	500	0	207	99059	1903
63679	9557053	5322431	555	0	207	99056	1906
63680	9557053	5322431	555	0	207	99058	1904
63681	9557033	5322430	468	0	207	99054	1908
63682	9556996	5322430	331	0	207	99053	1908
63683	9556980	5322430	401	0	207	99062	1901
63684	9556964	5322430	475	0	206	99057	1905
63685	9556964	5322430	475	0	206	99065	1898
63686	9556929	5322430	479	0	207	99062	1901
63687	9556910	5322430	551	0	206	99060	1903
63688	9556890	5322430	422	0	206	99059	1903
63689	9556871	5322430	529	0	206	99059	1903
63690	9556871	5322430	529	0	206	99062	1901
63691	9556831	5322430	550	0	206	99065	1898
63692	9556811	5322429	461	0	206	99064	1899
63693	9556811	5322429	461	0	206	99062	1901
63694	9556769	5322429	533	0	206	99063	1900
63695	9556769	5322429	533	0	206	99062	1901
63696	9556730	5322429	444	0	206	99058	1904
63697	9556712	5322429	492	0	206	99056	1906
63698	9556692	5322429	479	0	206	99061	1902
63699	9556673	5322429	385	0	206	99070	1894
63700	9556673	5322429	385	0	206	99056	1906
63701	9556635	5322429	546	0	206	99062	1901
63702	9556635	5322429	546	0	206	99070	1894
63703	9556597	5322429	448	0	206	99064	1899
63704	9556579	5322429	370	0	206	99064	1899
63705	9556579	5322429	370	0	206	99066	1897
63706	9556540	5322429	488	0	206	99061	1902
63707	9556520	5322429	475	0	206	99062	1901
63708	9556501	5322429	494	0	206	99067	1897
63709	9556479	5322429	483	0	206	99064	1899
63710	9556479	5322429	483	0	205	99061	1902
63711	9556438	5322429	492	0	205	99066	1897
63712	9556417	5322429	433	0	205	99059	1903
63713	9556398	5322429	463	0	205	99070	1894
63714	9556379	5322429	509	0	205	99055	1907
63715	9556379	5322429	509	0	205	99053	1908
63716	9556340	5322429	505	0	205	99070	1894
63717	9556320	5322429	470	0	205	99056	1906
63718	9556301	5322429	477	0	205	99056	1906
63719	9556281	5322429	475	0	205	99064	1899
63720	9556281	5322429	475	0	205	99067	1897
63721	9556240	5322429	490	0	205	99064	1899
63722	9556220	5322429	518	0	205	99063	1900
63723	9556199	5322428	501	0	205	99058	1904
63724	9556179	5322428	518	0	205	99064	1899
