#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
51747	8959332	5305052	162	0	91	99287	-183
51748	8959325	5305052	137	0	91	99289	-185
51749	8959326	5305052	316	0	91	99289	-185
51750	8959332	5305053	464	0	91	99289	-185
51751	8959343	5305055	551	0	91	99286	-182
51752	8959359	5305057	772	0	92	99289	-185
51753	8959379	5305059	955	0	92	99290	-186
51754	8959401	5305061	1168	0	92	99289	-185
51755	8959420	5305063	1064	0	92	99290	-186
51756	8959437	5305065	1027	0	92	99285	-182
51757	8959445	5305068	937	0	92	99290	-186
51758	8959446	5305069	681	0	92	99289	-185
51759	8959435	5305072	700	0	92	99291	-187
51760	8959412	5305074	1016	0	92	99298	-193
51761	8959376	5305075	963	0	92	99284	-181
51762	8959332	5305077	1183	0	92	99294	-189
51763	8959286	5305078	1074	0	92	99294	-189
51764	8959238	5305079	1107	0	92	99291	-187
51765	8959190	5305080	1033	0	92	99295	-190
51766	8959145	5305081	970	0	92	99293	-188
51767	8959101	5305081	827	0	93	99289	-185
51768	8959061	5305081	753	0	93	99288	-184
51769	8959027	5305080	835	0	93	99288	-184
51770	8959002	5305079	722	0	93	99293	-188
51771	8958985	5305079	668	0	93	99291	-187
51772	8958978	5305077	1007	0	93	99289	-185
51773	8958981	5305075	1029	0	93	99296	-191
51774	8958997	5305073	1226	0	93	99290	-186
51775	8959026	5305071	1238	0	93	99287	-183
51776	8959064	5305069	1190	0	93	99289	-185
51777	8959107	5305068	1033	0	93	99286	-182
51778	8959150	5305067	1031	0	93	99286	-182
51779	8959191	5305066	911	0	93	99286	-182
51780	8959229	5305066	720	0	94	99291	-187
51781	8959259	5305065	600	0	94	99289	-185
51782	8959281	5305065	581	0	94	99298	-193
51783	8959293	5305064	672	0	94	99294	-189
51784	8959297	5305063	663	0	94	99284	-181
51785	8959294	5305062	561	0	94	99286	-182
51786	8959287	5305061	638	0	94	99290	-186
