#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
51060	0	0	0	0	214	100715	509
51061	0	0	0	0	213	100717	507
51062	0	0	0	0	214	100714	509
51063	0	0	0	0	214	100717	507
51064	0	0	0	0	214	100710	513
51065	0	0	0	0	214	100710	513
51066	0	0	0	0	214	100705	517
51067	0	0	0	0	214	100707	515
51068	0	0	0	0	214	100710	513
51069	0	0	0	0	214	100717	507
51070	0	0	0	0	214	100713	510
51071	0	0	0	0	214	100710	513
51072	0	0	0	0	214	100712	511
51073	0	0	0	0	214	100707	515
51074	0	0	0	0	214	100708	514
51075	0	0	0	0	214	100713	510
51076	0	0	0	0	214	100713	510
51077	0	0	0	0	214	100713	510
51078	0	0	0	0	214	100719	505
51079	0	0	0	0	214	100717	507
51080	0	0	0	0	214	100720	504
51081	0	0	0	0	214	100719	505
51082	0	0	0	0	214	100714	509
51083	0	0	0	0	214	100716	508
51084	0	0	0	0	214	100721	504
51085	0	0	0	0	214	100719	505
51086	0	0	0	0	214	100721	504
51087	0	0	0	0	214	100777	457
51088	0	0	0	0	214	100720	504
51089	0	0	0	0	214	100713	510
51090	0	0	0	0	214	100721	504
51091	0	0	0	0	214	100723	502
51092	0	0	0	0	214	100724	501
51093	0	0	0	0	214	100727	499
51094	0	0	0	0	214	100722	503
51095	0	0	0	0	214	100716	508
51096	0	0	0	0	214	100722	503
51097	0	0	0	0	214	100715	509
51098	0	0	0	0	214	100721	504
51099	0	0	0	0	214	100724	501
51100	0	0	0	0	214	100722	503
51101	0	0	0	0	214	100718	506
51102	0	0	0	0	214	100720	504
51103	0	0	0	0	214	100713	510
51104	0	0	0	0	214	100720	504
51105	0	0	0	0	214	100723	502
51106	0	0	0	0	214	100719	505
51107	0	0	0	0	214	100717	507
51108	0	0	0	0	214	100721	504
51109	0	0	0	0	214	100720	504
51110	0	0	0	0	214	100717	507
51111	0	0	0	0	214	100725	500
51112	0	0	0	0	214	100722	503
51113	0	0	0	0	214	100720	504
51114	0	0	0	0	214	100721	504
51115	0	0	0	0	214	100714	509
51116	0	0	0	0	215	100722	503
51117	0	0	0	0	214	100718	506
51118	0	0	0	0	215	100729	497
51119	0	0	0	0	214	100728	498
51120	0	0	0	0	215	100723	502
51121	0	0	0	0	215	100727	499
51122	0	0	0	0	214	100717	507
51123	0	0	0	0	215	100732	494
51124	0	0	0	0	215	100722	503
51125	0	0	0	0	215	100722	503
51126	0	0	0	0	215	100727	499
51127	0	0	0	0	215	100728	498
51128	0	0	0	0	215	100723	502
51129	0	0	0	0	215	100722	503
51130	0	0	0	0	215	100732	494
51131	0	0	0	0	215	100719	505
51132	0	0	0	0	215	100727	499
51133	0	0	0	0	215	100724	501
51134	0	0	0	0	215	100730	496
51135	0	0	0	0	215	100721	504
51136	0	0	0	0	215	100729	497
51137	0	0	0	0	215	100732	494
51138	0	0	0	0	215	100732	494
51139	0	0	0	0	215	100735	492
51140	0	0	0	0	215	100737	490
51141	0	0	0	0	215	100730	496
51142	0	0	0	0	215	100728	498
51143	0	0	0	0	215	100733	494
51144	0	0	0	0	215	100734	493
51145	0	0	0	0	215	100738	489
51146	0	0	0	0	215	100734	493
51147	0	0	0	0	215	100733	494
51148	0	0	0	0	215	100732	494
51149	0	0	0	0	215	100733	494
51150	0	0	0	0	215	100735	492
51151	0	0	0	0	215	100737	490
51152	0	0	0	0	215	100732	494
51153	0	0	0	0	215	100732	494
51154	0	0	0	0	215	100739	489
51155	0	0	0	0	215	100739	489
51156	0	0	0	0	215	100746	483
51157	0	0	0	0	215	100732	494
51158	0	0	0	0	215	100735	492
51159	0	0	0	0	215	100737	490
51160	0	0	0	0	215	100744	484
51161	0	0	0	0	215	100741	487
51162	0	0	0	0	215	100743	485
51163	0	0	0	0	215	100736	491
51164	0	0	0	0	216	100746	483
51165	0	0	0	0	215	100743	485
51166	0	0	0	0	216	100744	484
51167	0	0	0	0	215	100741	487
51168	0	0	0	0	216	100747	482
51169	0	0	0	0	216	100744	484
51170	0	0	0	0	216	100744	484
51171	0	0	0	0	216	100745	484
51172	0	0	0	0	216	100748	481
51173	0	0	0	0	216	100743	485
51174	0	0	0	0	216	100746	483
51175	0	0	0	0	216	100745	484
51176	0	0	0	0	216	100746	483
51177	0	0	0	0	216	100748	481
51178	0	0	0	0	216	100753	477
51179	0	0	0	0	216	100751	478
51180	0	0	0	0	216	100752	478
51181	0	0	0	0	216	100753	477
51182	0	0	0	0	216	100744	484
51183	0	0	0	0	216	100749	480
51184	0	0	0	0	216	100744	484
51185	0	0	0	0	216	100751	478
51186	0	0	0	0	216	100744	484
51187	0	0	0	0	216	100750	479
51188	0	0	0	0	216	100749	480
51189	0	0	0	0	216	100748	481
51190	0	0	0	0	216	100740	488
51191	0	0	0	0	216	100750	479
51192	0	0	0	0	216	100744	484
51193	0	0	0	0	216	100741	487
51194	0	0	0	0	216	100747	482
51195	0	0	0	0	216	100745	484
51196	0	0	0	0	216	100743	485
51197	0	0	0	0	216	100742	486
51198	0	0	0	0	216	100734	493
51199	0	0	0	0	216	100740	488
51200	0	0	0	0	216	100737	490
51201	0	0	0	0	216	100738	489
51202	0	0	0	0	216	100741	487
51203	0	0	0	0	216	100732	494
51204	0	0	0	0	216	100732	494
51205	0	0	0	0	216	100735	492
51206	0	0	0	0	216	100740	488
51207	0	0	0	0	216	100738	489
51208	0	0	0	0	216	100732	494
51209	0	0	0	0	216	100735	492
51210	0	0	0	0	216	100733	494
51211	0	0	0	0	216	100733	494
51212	0	0	0	0	216	100735	492
51213	0	0	0	0	216	100733	494
51214	0	0	0	0	216	100738	489
51215	0	0	0	0	216	100734	493
51216	0	0	0	0	217	100729	497
