#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
5464	9557068	5322563	70	0	218	99073	1892
5465	9557050	5322564	81	0	218	99077	1888
5466	9557033	5322567	85	0	218	99079	1886
5467	9557012	5322569	64	0	218	99077	1888
5468	9557001	5322570	53	0	218	99077	1888
5469	9556993	5322571	42	0	218	99079	1886
5470	9556984	5322572	12	0	218	99078	1887
5471	9556976	5322573	11	0	218	99071	1893
5472	9556967	5322574	38	0	218	99078	1887
5473	9556960	5322575	46	0	218	99079	1886
5474	9556957	5322575	62	0	218	99073	1892
5475	9556953	5322576	70	0	218	99078	1887
5476	9556952	5322576	61	0	218	99076	1889
5477	9556950	5322577	103	0	218	99081	1885
5478	9556941	5322577	244	0	218	99078	1887
5479	9556931	5322578	240	0	218	99076	1889
5480	9556920	5322580	272	0	218	99077	1888
5481	9556904	5322580	309	0	218	99072	1892
5482	9556890	5322581	316	0	218	99075	1890
5483	9556875	5322582	325	0	218	99085	1881
5484	9556855	5322584	379	0	218	99074	1891
5485	9556838	5322585	388	0	218	99079	1886
5486	9556820	5322586	411	0	218	99075	1890
5487	9556800	5322587	424	0	218	99083	1883
5488	9556782	5322588	444	0	218	99082	1884
5489	9556766	5322589	468	0	218	99080	1886
5490	9556751	5322590	446	0	218	99084	1882
5491	9556742	5322590	414	0	218	99082	1884
5492	9556734	5322590	431	0	218	99075	1890
5493	9556728	5322590	379	0	218	99077	1888
5494	9556723	5322590	383	0	218	99077	1888
5495	9556713	5322591	390	0	217	99079	1886
5496	9556702	5322591	444	0	217	99071	1893
5497	9556687	5322591	468	0	217	99076	1889
5498	9556671	5322591	477	0	217	99071	1893
5499	9556653	5322592	479	0	217	99076	1889
5500	9556635	5322592	494	0	217	99073	1892
5501	9556616	5322592	522	0	217	99076	1889
5502	9556597	5322592	544	0	217	99080	1886
5503	9556577	5322592	548	0	217	99078	1887
5504	9556556	5322592	529	0	217	99078	1887
5505	9556536	5322592	468	0	217	99078	1887
5506	9556518	5322592	448	0	217	99081	1885
5507	9556500	5322592	390	0	217	99081	1885
5508	9556484	5322592	337	0	217	99086	1880
5509	9556469	5322592	422	0	217	99084	1882
5510	9556454	5322591	438	0	217	99085	1881
5511	9556437	5322590	422	0	217	99079	1886
5512	9556419	5322590	392	0	217	99083	1883
5513	9556399	5322590	546	0	217	99083	1883
5514	9556380	5322590	459	0	217	99081	1885
5515	9556364	5322589	231	0	217	99078	1887
5516	9556355	5322589	257	0	217	99082	1884
5517	9556347	5322588	309	0	217	99080	1886
5518	9556343	5322587	368	0	217	99084	1882
5519	9556339	5322585	385	0	217	99079	1886
5520	9556331	5322584	364	0	216	99075	1890
5521	9556323	5322584	211	0	216	99076	1889
5522	9556316	5322584	81	0	216	99078	1887
5523	9556312	5322584	20	0	216	99076	1889
5524	9556307	5322585	16	0	216	99081	1885
5525	9556305	5322586	64	0	216	99083	1883
5526	9556303	5322586	144	0	216	99085	1881
5527	9556301	5322587	194	0	216	99080	1886
5528	9556298	5322587	368	0	216	99082	1884
5529	9556291	5322588	385	0	216	99085	1881
5530	9556281	5322589	379	0	216	99081	1885
5531	9556269	5322590	398	0	216	99085	1881
5532	9556257	5322590	411	0	216	99077	1888
5533	9556249	5322591	372	0	216	99076	1889
5534	9556239	5322592	357	0	216	99074	1891
5535	9556230	5322593	442	0	216	99077	1888
5536	9556221	5322593	438	0	216	99079	1886
5537	9556213	5322594	416	0	216	99070	1894
5538	9556206	5322595	425	0	216	99076	1889
5539	9556199	5322596	446	0	216	99066	1897
5540	9556192	5322597	438	0	216	99072	1892
5541	9556181	5322598	433	0	216	99073	1892
5542	9556170	5322599	448	0	216	99077	1888
5543	9556156	5322600	483	0	216	99081	1885
5544	9556142	5322601	488	0	216	99081	1885
5545	9556129	5322602	466	0	215	99081	1885
5546	9556115	5322603	459	0	215	99076	1889
5547	9556105	5322603	466	0	215	99080	1886
5548	9556093	5322604	455	0	215	99087	1880
5549	9556083	5322605	433	0	215	99087	1880
5550	9556071	5322606	455	0	215	99082	1884
5551	9556061	5322607	453	0	215	99076	1889
5552	9556049	5322607	453	0	215	99080	1886
5553	9556038	5322608	427	0	215	99076	1889
5554	9556026	5322609	438	0	215	99082	1884
5555	9556014	5322609	450	0	215	99074	1891
5556	9555998	5322610	500	0	215	99076	1889
5557	9555998	5322610	500	0	215	99073	1892
5558	9555959	5322611	488	0	215	99074	1891
5559	9555935	5322612	494	0	215	99073	1892
5560	9555910	5322612	507	0	215	99074	1891
5561	9555886	5322611	487	0	215	99078	1887
5562	9555886	5322611	487	0	215	99080	1886
5563	9555840	5322611	468	0	215	99074	1891
5564	9555820	5322611	472	0	215	99071	1893
5565	9555799	5322610	442	0	215	99071	1893
5566	9555779	5322610	409	0	215	99096	1872
5567	9555758	5322609	516	0	215	99080	1886
5568	9555737	5322609	513	0	214	99074	1891
5569	9555714	5322609	535	0	214	99074	1891
5570	9555691	5322608	481	0	214	99081	1885
5571	9555671	5322607	501	0	214	99080	1886
5572	9555671	5322607	501	0	214	99076	1889
5573	9555634	5322605	505	0	214	99074	1891
5574	9555618	5322604	474	0	214	99072	1892
5575	9555604	5322603	470	0	214	99074	1891
5576	9555589	5322602	487	0	214	99069	1895
5577	9555573	5322601	509	0	214	99076	1889
5578	9555556	5322600	537	0	214	99079	1886
5579	9555538	5322599	514	0	214	99076	1889
5580	9555523	5322598	507	0	214	99079	1886
5581	9555508	5322597	485	0	214	99085	1881
5582	9555494	5322596	463	0	214	99079	1886
5583	9555481	5322595	477	0	214	99078	1887
5584	9555467	5322595	481	0	214	99079	1886
5585	9555451	5322594	492	0	214	99071	1893
5586	9555435	5322593	500	0	214	99077	1888
5587	9555417	5322592	496	0	214	99068	1896
5588	9555400	5322592	494	0	214	99072	1892
5589	9555384	5322591	490	0	213	99067	1897
5590	9555370	5322590	485	0	214	99079	1886
5591	9555354	5322589	485	0	213	99074	1891
5592	9555340	5322588	474	0	213	99071	1893
5593	9555326	5322588	438	0	213	99076	1889
5594	9555312	5322587	396	0	213	99074	1891
5595	9555301	5322586	400	0	213	99069	1895
5596	9555289	5322586	433	0	213	99071	1893
5597	9555279	5322585	453	0	213	99071	1893
5598	9555267	5322584	475	0	213	99068	1896
5599	9555255	5322582	475	0	213	99067	1897
5600	9555243	5322581	511	0	213	99073	1892
5601	9555231	5322580	488	0	213	99078	1887
5602	9555219	5322580	483	0	213	99075	1890
5603	9555206	5322579	488	0	213	99074	1891
5604	9555194	5322577	472	0	213	99072	1892
5605	9555181	5322577	446	0	213	99074	1891
5606	9555168	5322576	437	0	213	99075	1890
5607	9555157	5322576	420	0	213	99070	1894
5608	9555145	5322575	407	0	213	99080	1886
5609	9555135	5322574	407	0	213	99071	1893
5610	9555128	5322574	396	0	213	99070	1894
5611	9555121	5322573	411	0	213	99069	1895
5612	9555118	5322572	390	0	213	99076	1889
5613	9555118	5322571	405	0	213	99078	1887
5614	9555117	5322570	416	0	213	99076	1889
5615	9555116	5322569	424	0	212	99074	1891
5616	9555113	5322567	472	0	212	99073	1892
5617	9555109	5322566	475	0	212	99076	1889
5618	9555104	5322565	477	0	212	99073	1892
5619	9555098	5322564	474	0	212	99070	1894
5620	9555091	5322563	477	0	212	99068	1896
5621	9555083	5322562	475	0	212	99068	1896
5622	9555077	5322561	468	0	212	99067	1897
5623	9555070	5322559	481	0	212	99069	1895
5624	9555063	5322558	483	0	212	99070	1894
5625	9555058	5322556	492	0	212	99076	1889
5626	9555052	5322555	500	0	212	99071	1893
5627	9555044	5322554	494	0	212	99070	1894
5628	9555040	5322553	487	0	212	99075	1890
5629	9555035	5322551	518	0	212	99069	1895
5630	9555031	5322550	514	0	212	99073	1892
5631	9555024	5322548	522	0	212	99074	1891
5632	9555017	5322547	507	0	212	99072	1892
5633	9555011	5322546	453	0	212	99073	1892
5634	9555003	5322545	472	0	212	99071	1893
5635	9554996	5322543	496	0	212	99069	1895
5636	9554989	5322542	501	0	212	99080	1886
5637	9554981	5322541	503	0	212	99075	1890
5638	9554973	5322540	490	0	211	99071	1893
5639	9554967	5322538	481	0	211	99068	1896
5640	9554964	5322537	420	0	211	99073	1892
5641	9554962	5322536	416	0	211	99076	1889
5642	9554962	5322536	416	0	211	99079	1886
5643	9554957	5322534	477	0	211	99080	1886
5644	9554955	5322533	472	0	211	99078	1887
5645	9554951	5322532	425	0	211	99072	1892
5646	9554948	5322531	424	0	211	99078	1887
5647	9554947	5322530	425	0	211	99075	1890
5648	9554945	5322529	416	0	211	99076	1889
5649	9554945	5322528	398	0	211	99069	1895
5650	9554945	5322527	394	0	211	99076	1889
5651	9554944	5322526	390	0	211	99077	1888
5652	9554942	5322526	375	0	211	99070	1894
5653	9554938	5322525	375	0	211	99074	1891
5654	9554934	5322524	366	0	211	99073	1892
5655	9554928	5322523	368	0	211	99066	1897
5656	9554922	5322522	370	0	211	99070	1894
5657	9554919	5322521	368	0	211	99069	1895
5658	9554915	5322520	366	0	211	99068	1896
5659	9554913	5322519	374	0	211	99077	1888
5660	9554907	5322519	400	0	211	99081	1885
5661	9554900	5322518	414	0	211	99080	1886
5662	9554893	5322517	377	0	210	99071	1893
5663	9554888	5322516	370	0	210	99078	1887
5664	9554883	5322515	351	0	210	99074	1891
5665	9554879	5322514	379	0	210	99074	1891
5666	9554876	5322513	411	0	210	99070	1894
5667	9554872	5322512	424	0	210	99062	1901
5668	9554868	5322511	450	0	210	99062	1901
5669	9554865	5322510	416	0	210	99076	1889
5670	9554861	5322509	388	0	210	99065	1898
5671	9554857	5322507	440	0	210	99066	1897
5672	9554857	5322507	440	0	210	99073	1892
5673	9554845	5322504	440	0	210	99070	1894
