#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
34985	9555910	5322454	3203	0	206	99019	1937
34986	9555775	5322453	3070	0	206	99015	1941
34987	9555645	5322451	2985	0	206	99016	1940
34988	9555519	5322450	2872	0	206	99017	1939
34989	9555399	5322448	2748	0	206	99016	1940
34990	9555284	5322447	2626	0	206	99026	1931
34991	9555173	5322446	2307	0	206	99023	1934
34992	9555075	5322445	1776	0	206	99024	1933
34993	9554991	5322445	1174	0	206	99018	1938
34994	9554926	5322444	661	0	206	99016	1940
34995	9554881	5322445	494	0	206	99020	1936
34996	9554852	5322446	331	0	206	99020	1936
34997	9554837	5322447	14	0	206	99020	1936
34998	9554830	5322448	1	0	206	99019	1937
34999	9554829	5322449	7	0	206	99025	1932
35000	9554829	5322449	5	0	206	99023	1934
35001	9554829	5322449	7	0	206	99013	1942
35002	9554830	5322449	12	0	206	99020	1936
35003	9554831	5322448	11	0	206	99026	1931
35004	9554831	5322448	11	0	206	99029	1929
35005	9554835	5322447	5	0	205	99021	1936
35006	9554837	5322447	27	0	206	99023	1934
35007	9554836	5322447	625	0	205	99025	1932
35008	9554827	5322446	842	0	205	99021	1936
35009	9554827	5322446	842	0	205	99025	1932
35010	9554784	5322444	1155	0	205	99025	1932
35011	9554751	5322441	1383	0	205	99022	1935
35012	9554727	5322437	2079	0	205	99018	1938
35013	9554708	5322430	2415	0	205	99017	1939
35014	9554708	5322430	2415	0	205	99015	1941
35015	9554692	5322416	3081	0	205	99019	1937
35016	9554686	5322408	3207	0	205	99011	1944
35017	9554675	5322399	3366	0	205	99011	1944
35018	9554660	5322390	3522	0	205	99012	1943
35019	9554660	5322390	3522	0	205	99012	1943
35020	9554592	5322372	3979	0	205	99014	1942
35021	9554535	5322363	4252	0	205	99010	1945
35022	9554460	5322353	4452	0	205	99017	1939
35023	9554371	5322343	4615	0	205	99014	1942
35024	9554371	5322343	4615	0	205	99015	1941
35025	9554167	5322322	4922	0	205	99016	1940
35026	9554053	5322311	4850	0	205	99021	1936
35027	9553930	5322301	4794	0	205	99016	1940
35028	9553796	5322291	4826	0	205	99019	1937
35029	9553796	5322291	4826	0	205	99015	1941
35030	9553618	5322280	4722	0	205	99018	1938
35031	9553440	5322269	4630	0	205	99018	1938
35032	9553265	5322258	4572	0	205	99016	1940
35033	9553097	5322247	4372	0	205	99015	1941
35034	9552975	5322238	4281	0	205	99015	1941
35035	9552861	5322229	4368	0	205	99012	1943
35036	9552761	5322218	4483	0	205	99010	1945
35037	9552678	5322208	4581	0	205	99008	1947
35038	9552612	5322196	4848	0	205	99009	1946
35039	9552612	5322196	4848	0	205	99005	1949
35040	9552524	5322172	4894	0	205	99009	1946
35041	9552488	5322160	4946	0	205	99010	1945
35042	9552454	5322148	4913	0	205	99008	1947
35043	9552418	5322135	4824	0	205	99009	1946
35044	9552418	5322135	4824	0	204	99010	1945
35045	9552340	5322110	4883	0	205	99007	1947
