#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
56674	8833759	5304143	164	0	142	99443	-316
56675	8833769	5304144	124	0	142	99448	-320
56676	8833772	5304145	51	0	142	99451	-323
56677	8833776	5304146	24	0	142	99450	-322
56678	8833781	5304147	37	0	142	99447	-319
56679	8833781	5304148	159	0	142	99448	-320
56680	8833777	5304149	307	0	142	99449	-321
56681	8833769	5304150	362	0	142	99451	-323
56682	8833754	5304150	431	0	142	99450	-322
56683	8833730	5304151	596	0	142	99450	-322
56684	8833702	5304152	877	0	142	99453	-324
56685	8833670	5304152	955	0	142	99453	-324
56686	8833632	5304153	1157	0	142	99452	-323
56687	8833590	5304154	1226	0	142	99456	-327
56688	8833544	5304155	1129	0	142	99452	-323
56689	8833495	5304154	990	0	142	99453	-324
56690	8833449	5304154	731	0	142	99454	-325
56691	8833409	5304154	794	0	142	99449	-321
56692	8833372	5304152	900	0	142	99452	-323
56693	8833339	5304151	1059	0	142	99450	-322
56694	8833304	5304149	1185	0	142	99452	-323
56695	8833273	5304147	1264	0	142	99452	-323
56696	8833241	5304144	1329	0	142	99452	-323
56697	8833212	5304141	1409	0	142	99455	-326
56698	8833183	5304138	1389	0	142	99453	-324
56699	8833151	5304135	1470	0	142	99449	-321
56700	8833117	5304131	1577	0	142	99456	-327
56701	8833084	5304127	1561	0	142	99458	-329
56702	8833050	5304123	1574	0	142	99456	-327
56703	8833017	5304120	1396	0	142	99455	-326
56704	8832979	5304116	1474	0	142	99464	-334
56705	8832939	5304112	1553	0	142	99452	-323
56706	8832897	5304109	1642	0	142	99462	-332
56707	8832853	5304105	1648	0	142	99463	-333
56708	8832811	5304101	1544	0	142	99463	-333
56709	8832773	5304097	1553	0	142	99462	-332
56710	8832741	5304093	1433	0	142	99466	-335
56711	8832722	5304088	1600	0	142	99465	-334
56712	8832716	5304084	1711	0	142	99462	-332
56713	8832725	5304079	1731	0	142	99469	-338
56714	8832747	5304075	1737	0	142	99472	-340
56715	8832776	5304071	1789	0	142	99465	-334
56716	8832814	5304067	1813	0	142	99462	-332
56717	8832861	5304064	1883	0	142	99468	-337
56718	8832914	5304060	1881	0	142	99468	-337
56719	8832976	5304057	1826	0	142	99472	-340
56720	8833039	5304054	1713	0	142	99467	-336
56721	8833102	5304052	1620	0	142	99472	-340
56722	8833164	5304049	1529	0	142	99465	-334
56723	8833223	5304047	1450	0	142	99469	-338
56724	8833277	5304046	1137	0	142	99468	-337
56725	8833320	5304044	905	0	142	99471	-340
56726	8833354	5304043	777	0	142	99468	-337
56727	8833378	5304041	788	0	143	99471	-340
56728	8833395	5304040	790	0	143	99476	-344
56729	8833404	5304039	911	0	143	99477	-345
56730	8833406	5304036	1192	0	143	99469	-338
56731	8833398	5304033	1537	0	143	99470	-339
56732	8833376	5304030	1820	0	143	99473	-341
56733	8833343	5304026	1929	0	143	99470	-339
56734	8833302	5304021	1844	0	143	99471	-340
56735	8833268	5304017	1755	0	143	99468	-337
56736	8833245	5304012	1590	0	143	99472	-340
56737	8833243	5304007	1579	0	143	99469	-338
56738	8833264	5304003	1813	0	143	99467	-336
56739	8833306	5303999	2127	0	143	99467	-336
56740	8833369	5303995	2381	0	143	99466	-335
56741	8833445	5303990	2616	0	143	99464	-334
56742	8833530	5303986	2703	0	143	99461	-331
56743	8833625	5303981	2846	0	143	99455	-326
56744	8833724	5303976	2955	0	143	99451	-323
56745	8833828	5303972	3079	0	143	99461	-331
56746	8833939	5303966	3387	0	143	99466	-335
56747	8834063	5303961	3741	0	143	99457	-328
56748	8834196	5303955	3833	0	143	99459	-329
56749	8834333	5303949	3829	0	143	99460	-330
56750	8834471	5303943	3735	0	143	99461	-331
56751	8834605	5303937	3742	0	143	99450	-322
56752	8834741	5303930	3848	0	143	99454	-325
56753	8834879	5303924	3965	0	143	99456	-327
56754	8835022	5303917	4172	0	143	99444	-317
56755	8835169	5303910	4426	0	143	99449	-321
56756	8835323	5303901	4761	0	144	99450	-322
56757	8835488	5303892	5042	0	144	99456	-327
56758	8835660	5303882	5193	0	143	99451	-323
56759	8835838	5303872	5309	0	144	99459	-329
56760	8836024	5303863	5315	0	144	99461	-331
56761	8836212	5303854	5280	0	144	99465	-334
56762	8836399	5303845	5109	0	144	99468	-337
56763	8836579	5303836	4842	0	144	99471	-340
56764	8836746	5303828	4539	0	144	99469	-338
56765	8836893	5303821	3433	0	144	99468	-337
56766	8837029	5303815	2885	0	144	99464	-334
56767	8837154	5303809	2607	0	144	99462	-332
56768	8837276	5303805	2548	0	144	99458	-329
56769	8837393	5303801	2785	0	144	99458	-329
56770	8837502	5303800	3100	0	144	99457	-328
56771	8837611	5303801	3346	0	144	99448	-320
56772	8837717	5303803	3839	0	144	99443	-316
56773	8837833	5303807	4192	0	144	99441	-314
56774	8837961	5303811	4485	0	145	99442	-315
56775	8838100	5303817	4324	0	145	99442	-315
56776	8838245	5303823	4389	0	145	99429	-304
56777	8838391	5303829	4526	0	145	99434	-308
56778	8838535	5303836	4742	0	145	99420	-296
56779	8838676	5303843	4967	0	145	99417	-294
56780	8838818	5303852	5209	0	145	99409	-287
56781	8838961	5303861	5450	0	145	99412	-289
56782	8839106	5303871	5567	0	145	99399	-278
56783	8839255	5303881	5300	0	145	99400	-279
56784	8839405	5303891	5191	0	145	99398	-278
56785	8839551	5303901	5005	0	145	99400	-279
56786	8839691	5303911	4841	0	145	99386	-267
56787	8839825	5303921	4705	0	145	99387	-268
56788	8839959	5303930	4705	0	146	99397	-277
56789	8840096	5303939	4478	0	145	99388	-269
56790	8840235	5303947	4292	0	146	99397	-277
56791	8840379	5303954	4229	0	146	99391	-272
56792	8840525	5303961	4267	0	146	99390	-271
56793	8840669	5303967	4318	0	146	99395	-275
56794	8840806	5303974	4018	0	146	99399	-278
56795	8840931	5303981	3500	0	146	99400	-279
56796	8841041	5303988	2900	0	146	99397	-277
56797	8841135	5303995	2485	0	146	99399	-278
56798	8841215	5304000	2111	0	146	99397	-277
56799	8841284	5304004	1813	0	146	99399	-278
56800	8841409	5304010	1942	0	146	99393	-273
56801	8841409	5304010	1942	0	146	99395	-275
56802	8841475	5304011	1931	0	146	99391	-272
56803	8841548	5304011	2176	0	147	99395	-275
56804	8841629	5304009	2918	0	147	99394	-274
56805	8841722	5304006	3591	0	147	99396	-276
56806	8841825	5304001	3891	0	147	99396	-276
56807	8841940	5303994	3944	0	147	99391	-272
56808	8842066	5303988	4044	0	147	99400	-279
56809	8842201	5303982	4424	0	147	99403	-282
56810	8842344	5303975	4850	0	147	99408	-286
56811	8842498	5303967	5185	0	147	99408	-286
56812	8842662	5303960	5233	0	147	99412	-289
56813	8842834	5303953	5326	0	147	99412	-289
56814	8843016	5303945	5511	0	147	99411	-289
56815	8843204	5303937	6098	0	147	99410	-288
56816	8843403	5303927	6593	0	147	99415	-292
56817	8843613	5303919	7006	0	148	99420	-296
56818	8843838	5303908	7469	0	148	99430	-305
56819	8844077	5303898	7596	0	148	99431	-306
56820	8844326	5303887	7604	0	148	99432	-306
56821	8844581	5303876	7696	0	148	99432	-306
56822	8844837	5303864	7865	0	148	99430	-305
56823	8845093	5303852	7906	0	148	99422	-298
56824	8845350	5303840	8350	0	148	99427	-302
56825	8845613	5303826	8659	0	148	99418	-295
56826	8845886	5303813	8898	0	148	99417	-294
56827	8846165	5303799	8898	0	148	99421	-297
56828	8846447	5303785	8730	0	149	99420	-296
56829	8846730	5303771	8976	0	149	99421	-297
56830	8847006	5303757	8326	0	149	99421	-297
56831	8847276	5303743	8217	0	149	99423	-299
