#Zeit [s]	longitude [1e6]	Latitude [1e5]	GPSSpeed [1e2 km/h] 	Tacho [1e2 km/h] 	Temperatur [10 C] 	Druck [Pa] 	HoeheSee [10 m]
50448	9551737	5321993	7272	0	181	99200	28
50449	9551676	5321974	7513	0	181	99197	31
50450	9551676	5321974	7513	0	181	99192	35
50451	9551598	5321951	8008	0	181	99192	35
50452	9551517	5321927	8361	0	181	99184	42
50453	9551435	5321903	8609	0	181	99192	35
50454	9551351	5321877	8602	0	181	99203	26
50455	9551351	5321877	8602	0	181	99202	27
50456	9551214	5321835	8528	0	180	99213	17
50457	9551146	5321814	8656	0	180	99201	28
50458	9551076	5321793	8256	0	180	99200	28
50459	9551008	5321773	8180	0	180	99203	26
50460	9551008	5321773	8180	0	180	99212	18
50461	9550873	5321732	8132	0	180	99216	15
50462	9550806	5321712	8072	0	180	99214	17
50463	9550739	5321692	8274	0	180	99210	20
50464	9550671	5321671	8161	0	180	99208	22
50465	9550671	5321671	8161	0	180	99215	16
50466	9550539	5321631	7983	0	180	99214	17
50467	9550475	5321612	7995	0	180	99208	22
50468	9550411	5321592	7978	0	180	99217	14
50469	9550348	5321571	8243	0	180	99219	12
50470	9550285	5321552	8098	0	180	99214	17
50471	9550224	5321531	8145	0	180	99216	15
50472	9550165	5321511	7893	0	179	99217	14
50473	9550107	5321491	7819	0	179	99218	13
50474	9550051	5321472	7739	0	179	99218	13
50475	9549993	5321452	7745	0	179	99226	6
50476	9549933	5321433	7683	0	179	99221	11
50477	9549872	5321414	7615	0	179	99217	14
50478	9549809	5321395	7787	0	179	99220	11
50479	9549745	5321376	7700	0	179	99222	10
50480	9549680	5321357	7730	0	179	99219	12
50481	9549614	5321336	8039	0	179	99218	13
50482	9549547	5321317	8039	0	179	99228	5
50483	9549480	5321297	8037	0	179	99222	10
50484	9549415	5321277	8111	0	179	99229	4
50485	9549350	5321257	7974	0	179	99233	0
50486	9549287	5321237	8076	0	179	99234	0
50487	9549225	5321217	7685	0	178	99241	-5
50488	9549163	5321198	7356	0	178	99237	-2
50489	9549103	5321179	6946	0	178	99255	-17
50490	9549044	5321161	6504	0	178	99259	-21
50491	9548987	5321145	5954	0	178	99260	-22
50492	9548934	5321129	5311	0	178	99255	-17
50493	9548889	5321116	4498	0	178	99265	-26
50494	9548856	5321104	3663	0	178	99264	-25
50495	9548856	5321104	3663	0	178	99256	-18
50496	9548827	5321088	2194	0	178	99253	-16
50497	9548821	5321082	2183	0	178	99248	-11
50498	9548805	5321077	2687	0	178	99247	-11
50499	9548767	5321073	3439	0	178	99247	-11
50500	9548700	5321068	4115	0	177	99242	-6
50501	9548600	5321062	4515	0	177	99241	-5
50502	9548471	5321055	5044	0	177	99232	1
50503	9548326	5321048	5191	0	177	99232	1
50504	9548167	5321040	5278	0	177	99233	0
50505	9548002	5321032	5533	0	177	99227	5
50506	9547831	5321023	5654	0	177	99224	8
50507	9547650	5321014	6478	0	177	99222	10
50508	9547459	5321003	7019	0	177	99221	11
50509	9547254	5320993	7206	0	177	99213	17
50510	9547037	5320981	7283	0	177	99210	20
50511	9546812	5320969	7537	0	177	99210	20
50512	9546579	5320957	7743	0	177	99200	28
50513	9546339	5320944	8017	0	177	99190	37
50514	9546094	5320931	8485	0	176	99185	41
50515	9545838	5320918	8852	0	176	99178	47
50516	9545573	5320904	9059	0	176	99190	37
50517	9545299	5320888	9108	0	176	99182	44
50518	9545018	5320873	9024	0	176	99185	41
50519	9544739	5320858	9239	0	176	99172	52
50520	9544457	5320842	9372	0	176	99184	42
50521	9544179	5320826	9471	0	176	99170	54
50522	9543900	5320810	9706	0	176	99170	54
50523	9543620	5320793	9663	0	176	99162	61
50524	9543337	5320775	10011	0	176	99154	68
50525	9543053	5320757	10148	0	176	99158	64
50526	9542765	5320739	10243	0	176	99156	66
50527	9542475	5320721	10271	0	176	99162	61
50528	9542185	5320702	10230	0	176	99168	56
50529	9541895	5320683	10337	0	175	99165	58
50530	9541607	5320665	9839	0	175	99167	56
50531	9541324	5320646	9754	0	175	99173	51
50532	9541044	5320628	9439	0	175	99172	52
50533	9540771	5320611	9513	0	175	99178	47
50534	9540503	5320593	9008	0	175	99198	30
50535	9540241	5320576	8771	0	175	99194	34
50536	9539985	5320560	8624	0	175	99192	35
50537	9539732	5320544	8495	0	175	99196	32
50538	9539483	5320529	8389	0	175	99201	28
50539	9539238	5320513	8159	0	175	99213	17
50540	9538999	5320498	8065	0	175	99216	15
50541	9538763	5320484	8039	0	175	99225	7
50542	9538533	5320469	7663	0	175	99230	3
50543	9538309	5320454	7572	0	174	99234	0
50544	9538087	5320440	7496	0	174	99235	0
50545	9537870	5320426	7450	0	174	99242	-6
50546	9537656	5320413	7241	0	174	99246	-10
50547	9537445	5320399	7291	0	174	99247	-11
50548	9537235	5320385	7335	0	174	99251	-14
50549	9537027	5320371	6972	0	174	99251	-14
50550	9536819	5320358	6983	0	174	99255	-17
50551	9536613	5320345	7087	0	174	99262	-23
50552	9536407	5320332	7124	0	174	99261	-22
50553	9536205	5320320	7070	0	174	99267	-28
50554	9536005	5320307	7043	0	174	99262	-23
50555	9535805	5320294	7091	0	174	99267	-28
50556	9535605	5320281	7126	0	173	99267	-28
50557	9535407	5320268	7082	0	173	99271	-31
50558	9535210	5320256	6752	0	173	99273	-33
50559	9535013	5320243	6763	0	173	99274	-34
50560	9534816	5320231	6794	0	173	99275	-34
50561	9534618	5320218	6732	0	173	99271	-31
50562	9534421	5320205	6995	0	173	99270	-30
50563	9534222	5320192	7102	0	173	99272	-32
50564	9534020	5320179	7346	0	173	99266	-27
50565	9533814	5320165	7615	0	173	99267	-28
50566	9533603	5320151	7878	0	173	99261	-22
50567	9533385	5320138	8111	0	173	99260	-22
50568	9533161	5320123	8348	0	173	99258	-20
50569	9532929	5320108	8402	0	173	99260	-22
50570	9532691	5320093	8513	0	173	99263	-24
50571	9532446	5320077	8621	0	172	99251	-14
50572	9532194	5320062	9135	0	172	99247	-11
50573	9531936	5320046	9256	0	172	99245	-9
50574	9531671	5320029	9517	0	172	99245	-9
50575	9531400	5320012	9837	0	172	99243	-7
50576	9531123	5319994	9965	0	172	99245	-9
50577	9530842	5319977	10215	0	172	99242	-6
