51143	9600674	5286519	1	0
51144	9600674	5286519	0	0
51145	9600674	5286519	5	0
51146	9600674	5286519	9	0
51147	9600674	5286519	1	0
51148	9600674	5286519	1	0
51149	9600674	5286519	7	0
51150	9600674	5286519	9	0
51151	9600674	5286519	5	0
51152	9600674	5286519	5	0
51153	9600674	5286519	7	0
51154	9600674	5286519	7	0
51155	9600674	5286519	1	0
51156	9600674	5286519	7	0
51157	9600674	5286519	3	0
51158	9600674	5286519	7	0
51159	9600674	5286519	1	0
51160	9600674	5286519	1	0
51161	9600674	5286519	1	0
51162	9600674	5286519	1	0
51163	9600674	5286519	1	0
51164	9600674	5286519	3	0
51165	9600674	5286519	3	0
51166	9600674	5286519	7	0
51167	9600674	5286519	11	0
51168	9600674	5286519	1	0
51169	9600674	5286519	5	0
51170	9600674	5286519	7	0
51171	9600674	5286519	1	0
51172	9600674	5286519	3	0
51173	9600674	5286519	3	0
51174	9600674	5286519	3	0
51175	9600674	5286519	3	0
51176	9600674	5286519	1	0
51177	9600674	5286519	3	0
51178	9600674	5286519	3	0
51179	9600674	5286519	18	0
51180	9600674	5286519	12	0
51181	9600674	5286519	3	0
51182	9600674	5286519	3	0
51183	9600674	5286519	7	0
51184	9600674	5286519	7	0
51185	9600674	5286519	7	0
51186	9600674	5286519	5	0
51187	9600674	5286519	1	0
51188	9600674	5286519	11	0
51189	9600674	5286519	7	0
51190	9600674	5286519	5	0
51191	9600674	5286519	9	0
51192	9600674	5286519	12	0
51193	9600672	5286519	11	0
51194	9600672	5286519	7	0
51195	9600674	5286519	11	0
51196	9600674	5286519	5	0
51197	9600674	5286519	3	0
51198	9600674	5286519	5	0
51199	9600674	5286519	9	0
51200	9600674	5286519	3	0
51201	9600674	5286519	7	0
51202	9600674	5286519	14	0
51203	9600674	5286519	3	0
51204	9600674	5286519	14	0
51205	9600674	5286519	11	0
51206	9600674	5286519	16	0
51207	9600674	5286519	20	0
51208	9600675	5286519	129	0
51209	9600688	5286519	201	0
51210	9600705	5286520	261	0
51211	9600725	5286520	324	0
51212	9600745	5286520	331	0
51213	9600760	5286520	324	0
51214	9600770	5286521	248	0
51215	9600783	5286521	246	0
51216	9600797	5286521	287	0
